test;Kp;Ki;t1;t2;t3;Tavg;h1;h2;h3;Havg;PID_raw;PWM
1;25.00;0.20;36;35;36;35.67;19;22;20;20.33;57.32;57
1;25.00;0.20;36;35;36;35.67;19;22;20;20.33;56.85;56
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;64.94;64
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;64.71;64
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;64.47;64
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;64.23;64
1;25.00;0.20;36;35;35;35.33;19;22;20;20.33;63.99;63
1;25.00;0.20;36;35;35;35.33;20;22;20;20.67;63.75;63
1;25.00;0.20;36;35;35;35.33;20;22;20;20.67;63.52;63
1;25.00;0.20;36;35;35;35.33;20;22;20;20.67;63.28;63
1;25.00;0.20;36;35;35;35.33;20;22;20;20.67;63.04;63
1;25.00;0.20;36;35;35;35.33;20;22;20;20.67;62.80;62
1;25.00;0.20;36;35;35;35.33;20;22;20;20.67;62.56;62
1;25.00;0.20;36;35;35;35.33;20;22;20;20.67;62.33;62
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;70.66;70
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;79.23;79
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;79.47;79
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;79.71;79
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;79.94;79
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;80.18;80
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;80.42;80
1;25.00;0.20;35;34;34;34.33;20;23;21;21.33;89.23;89
1;25.00;0.20;35;34;34;34.33;20;23;21;21.33;89.70;89
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;90.18;90
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;90.66;90
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;91.13;91
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;91.61;91
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;92.08;92
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;92.56;92
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;93.04;93
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;93.51;93
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;93.99;93
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;94.46;94
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;94.94;94
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;95.41;95
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;95.89;95
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;96.37;96
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;96.84;96
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;97.32;97
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;97.79;97
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;98.27;98
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;98.75;98
1;25.00;0.20;35;34;34;34.33;20;24;21;21.67;99.22;99
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;91.13;91
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;91.36;91
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;91.60;91
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;91.84;91
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;92.08;92
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;92.31;92
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;92.55;92
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;92.79;92
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;93.03;93
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;93.27;93
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;93.50;93
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;93.74;93
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;93.98;93
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;94.22;94
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;94.46;94
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;94.69;94
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;94.93;94
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;95.17;95
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;95.41;95
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;95.65;95
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;95.88;95
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;96.12;96
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;96.36;96
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;96.60;96
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;96.83;96
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;97.07;97
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;97.31;97
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;97.55;97
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;97.79;97
1;25.00;0.20;35;34;35;34.67;20;24;20;21.33;98.02;98
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;98.26;98
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;98.50;98
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;98.74;98
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;98.98;98
1;25.00;0.20;35;34;35;34.67;20;23;20;21.00;99.21;99
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
1;25.00;0.20;35;35;35;35.00;20;22;20;20.67;90.88;90
